cavity,group,folder,CRMS_Real,CRMS_Res,supp,variance_explained,variance_explained_percent,mean_blrms,CRMS_Delay_Res,supp_Delay
SRCL,LOFO_Training,1424736018,4.69456882589104e-07,1.9822528777141066e-08,23.682996648261753,0.9982171011987993,99.82171011987992,899.4156661191275,2.2383091099616668e-07,2.09737288071505
SRCL,LOFO_Training,1417846196,4.317525623333231e-07,1.8073261186111654e-08,23.88902356289202,0.9982477212173052,99.82477212173052,895.5645857176238,1.847816769914598e-07,2.3365550598032385
SRCL,LOFO_Training,1420344018,4.872728294133522e-07,1.7845017549226325e-08,27.30581956947854,0.9986588122821981,99.8658812282198,745.3890610746917,2.60191329361366e-07,1.872748145026019
SRCL,LOFO_Training,1423267218,3.8556997500851596e-07,1.812808891139181e-08,21.269201452681603,0.9977894638040747,99.77894638040748,756.0778987883307,1.363029252080518e-07,2.8287725624375613
SRCL,LOFO_Training,1423274418,4.018794123896499e-07,1.859264828431477e-08,21.614963411569807,0.9978596194759303,99.78596194759302,796.0476563581285,1.476664076632787e-07,2.721535782911771
MICH,LOFO_Training,1424916018,6.518127111297592e-07,2.8861145895928996e-08,22.584436303400572,0.9980394338978289,99.80394338978289,643.8761315534753,1.0581413355343823e-07,6.159977776509231
MICH,LOFO_Training,1420675218,7.988432200778897e-07,2.6325944771683086e-08,30.344332444894725,0.9989139624920846,99.89139624920847,842.9177510055118,1.2614503397227054e-07,6.332736176150169
MICH,LOFO_Training,1422266402,7.061171516157986e-07,2.7248772486575524e-08,25.913723341617565,0.9985108434218977,99.85108434218976,943.7833880620644,1.2563464577440764e-07,5.620401500424638
MICH,LOFO_Training,1417615060,6.010351402314021e-07,2.6613711448275342e-08,22.583664867620378,0.9980392999535217,99.80392999535216,1054.420938861272,9.688458232177857e-08,6.20362007894311
MICH,LOFO_Training,1417838418,5.465383881183634e-07,2.5897889235950013e-08,21.10358813951869,0.9977546326930569,99.77546326930569,806.5294999380309,7.912659084389641e-08,6.907139335708178
MICH,LOFO_Training,1422316818,4.346452919569326e-07,2.6294028088740783e-08,16.530190448189625,0.9963403101158537,99.63403101158536,804.7724373358416,8.533325533992304e-08,5.093504170508123
MICH,LOFO_Training,1424689218,5.816839319670981e-07,2.7058549803591185e-08,21.497232342063562,0.9978361113980018,99.78361113980017,1023.6653144097806,9.678928184743691e-08,6.009796961650891
MICH,LOFO_Training,1420416018,9.489763938393101e-07,2.5854882385206366e-08,36.70395323021446,0.9992577087958816,99.92577087958816,731.2278478769425,1.2019296031623288e-07,7.895440725833794
MICH,LOFO_Training,1418934929,8.207105947281277e-07,2.7363964194332868e-08,29.992386662240207,0.9988883247231936,99.88883247231935,1185.0131948810701,1.1901807955106433e-07,6.895680033015525
MICH,LOFO_Training,1420851618,9.044287603160861e-07,2.575836106435402e-08,35.112046067546174,0.9991888751166248,99.91888751166248,756.2580755510347,1.0896778903806352e-07,8.299964313308774
MICH,LOFO_Training,1424736018,7.359258853205314e-07,2.573845378697193e-08,28.592466797404747,0.9987768020372707,99.87768020372707,899.4156661191275,1.0247576189142548e-07,7.181462930719707
MICH,LOFO_Training,1417846196,5.607727067685636e-07,2.6662069955609802e-08,21.032602033608228,0.9977394506575009,99.7739450657501,895.5645857176238,9.473581754553704e-08,5.919331476703779
MICH,LOFO_Training,1420344018,7.565131755393779e-07,2.8279072499497143e-08,26.7516968794797,0.9986026753182607,99.86026753182607,745.3890610746917,1.0781155940151139e-07,7.016995021118046
MICH,LOFO_Training,1423267218,4.433093010993521e-07,2.5399490908127513e-08,17.45347191023812,0.9967172611323294,99.67172611323294,756.0778987883307,6.389471559257741e-08,6.938121517373981
MICH,LOFO_Training,1423274418,4.83490487904321e-07,2.488979630874058e-08,19.42524888138731,0.997349872209182,99.7349872209182,796.0476563581285,6.686366028592442e-08,7.230990433918876
IMC,LOFO_Training,1424916018,2.9855213778859954e-07,1.033916529233731e-08,28.875845326688623,0.9988006923986525,99.88006923986525,643.8761315534753,1.0288877518841709e-07,2.90169785034247
IMC,LOFO_Training,1420675218,3.352994654682043e-07,1.0215901646891352e-08,32.821328655824935,0.9990717014243417,99.90717014243417,842.9177510055118,1.2249862601906537e-07,2.7371691941754444
IMC,LOFO_Training,1422266402,3.481266016697647e-07,1.0471612808970585e-08,33.244793139366216,0.9990951997121754,99.90951997121755,943.7833880620644,1.3194519798768542e-07,2.6384181234261797
IMC,LOFO_Training,1417615060,3.1893152457597487e-07,9.575224049197737e-09,33.30799602571145,0.9990986302237965,99.90986302237965,1054.420938861272,1.2390945904450038e-07,2.573907811682359
IMC,LOFO_Training,1417838418,2.8386962108939836e-07,9.66690404504454e-09,29.365101770604205,0.9988403231721487,99.88403231721486,806.5294999380309,9.808476834981145e-08,2.894125416874108
IMC,LOFO_Training,1422316818,3.5592692322714675e-07,1.2002261728998355e-08,29.654987640137936,0.9988628846941565,99.88628846941565,804.7724373358416,1.1015321564919803e-07,3.231198663874304
IMC,LOFO_Training,1424689218,2.917154677650668e-07,1.0967771948484776e-08,26.597513983263298,0.9985864280841783,99.85864280841783,1023.6653144097806,1.21340049426794e-07,2.4041152871052884
IMC,LOFO_Training,1420416018,3.5852566901352313e-07,9.987821389891778e-09,35.89628358556459,0.9992239297687469,99.92239297687469,731.2278478769425,1.4185530351909737e-07,2.527404052716692
IMC,LOFO_Training,1418934929,3.4340588454538675e-07,1.1046378072142183e-08,31.087645407631005,0.9989652764330079,99.89652764330079,1185.0131948810701,1.4610722357409343e-07,2.3503689697535033
IMC,LOFO_Training,1420851618,3.328183238807546e-07,9.782686411780974e-09,34.02115838855391,0.9991360237459015,99.91360237459016,756.2580755510347,1.1989871897985795e-07,2.7758288554914876
IMC,LOFO_Training,1424736018,3.191050989672792e-07,1.1265977747932737e-08,28.324669736351442,0.9987535631200458,99.87535631200458,899.4156661191275,1.2862506223589252e-07,2.4808936409457663
IMC,LOFO_Training,1417846196,2.8072309814596575e-07,9.820357488009939e-09,28.58583289750008,0.9987762342375184,99.87762342375184,895.5645857176238,1.0093018144908268e-07,2.7813592932812186
IMC,LOFO_Training,1420344018,3.459849395069583e-07,1.0329587523263022e-08,33.49455520152898,0.9991086432240038,99.91086432240039,745.3890610746917,1.2729856829544867e-07,2.7179012626753036
IMC,LOFO_Training,1423267218,2.816208572422153e-07,9.167322145263611e-09,30.720078642345687,0.9989403672959272,99.89403672959271,756.0778987883307,1.0459513905620752e-07,2.6924851363396285
IMC,LOFO_Training,1423274418,2.8597928158533705e-07,9.653778249559228e-09,29.623560246828156,0.9988604707016469,99.88604707016468,796.0476563581285,1.0945367071126064e-07,2.6127884037781786
FC,LOFO_Training,1424916018,2.2993398722446466e-07,5.313204735095634e-08,4.32759508975191,0.9466042413601528,94.66042413601528,643.8761315534753,1.0150332369918087e-07,2.2652853014538303
FC,LOFO_Training,1420675218,2.8955706943848335e-07,4.3513019882849103e-08,6.654492614349984,0.9774175995073403,97.74175995073404,842.9177510055118,8.754695053112075e-08,3.3074489480424916
FC,LOFO_Training,1422266402,3.899692644168226e-07,8.329550579396935e-08,4.681756364880092,0.9543771532326126,95.43771532326126,943.7833880620644,1.3640783785975676e-07,2.8588479264494806
